angle (deg),power (dB)
0,-16.26
10,-17.75
20,-17.64
30,-23.73
40,-22.26
50,-26.13
60,-32.4
70,-26.65
80,-31.6
-10,-17.0
-20,-18.86
-30,-21.2
-40,-22.47
