angle (deg),power (dB)
0,-18.2
10,-19.74
20,-16.5
30,-18.55
40,-16.1
50,-20.86
60,-21.68
70,-20
80,-25.8
-10,-18.0
-20,-19.86
-30,-22.2
-40,-23.47
